Номенклатура/ Характеристика номенклатури;Изд группа (св-во Номенклатура);Издательство (св-во Номенклатура);Автор (св-во Номенклатура);Номенклатура.Артикул ;Серия (св-во Номенклатура);Номер дозволу МОтаН (св-во Номенклатура);Новые поступления;Цена изменена;Рекомендованая розничная ;
        Petersburg Tales [Paperback];Gogol, N.;;Gogol, N.;9.78185E+12;;Alma Classics;Нет;Нет;180.00 грн;шт
    Audio Cambridge;;;;;;;;;;
        English in Medicine Third Ed. CD(1);;;;0;;;Нет;Нет;12.00 грн;шт
        English in Mind 1 Class CD(2);;;;0;;;Нет;Нет;24.00 грн;шт
        English in Mind 2 Class CD(2);;;;2.00006E+12;;;Нет;Нет;24.00 грн;шт
        English in Mind Starter Class CD(2);;;;0;;;Нет;Нет;24.00 грн;шт
        English365 1 CD(2);;;;0;;;Нет;Нет;24.00 грн;шт
        English365 3 CD(2);;;;0;;;Нет;Нет;24.00 грн;шт
        Face2face Inter Class CD(3);;;;0;;;Нет;Нет;36.00 грн;шт
        Join us English 1 AB CD(1);;;;0;;;Нет;Нет;12.00 грн;шт
        Join us English 1 PB CD(1);;;;0;;;Нет;Нет;12.00 грн;шт
        Join us English 1 Song CD(1);;;;0;;;Нет;Нет;12.00 грн;шт
        Join us English 2 PB CD(1);;;;0;;;Нет;Нет;12.00 грн;шт
        Join us English 3 PB CD(1);;;;0;;;Нет;Нет;12.00 грн;шт
        Join us English 3 Song CD(1);;;;0;;;Нет;Нет;12.00 грн;шт
        Join us English 3-4 DVD;;;;0;;;Нет;Нет;45.00 грн;шт
        Join us English 4 PB CD(1);;;;0;;;Нет;Нет;12.00 грн;шт
        Join us English 4 Song CD(1);;;;0;;;Нет;Нет;12.00 грн;шт
        Join us English Starter Song CD(1);;;;0;;;Нет;Нет;12.00 грн;шт
        Messages 1 Class CD(2);;;;0;;;Нет;Нет;24.00 грн;шт
        Messages 3 Class CD(2);;;;2.00006E+12;;;Нет;Нет;24.00 грн;шт
        Window on Literature Audio CD;;;;2.00006E+12;;;Нет;Нет;20.00 грн;шт
    Audio Hueber;;;;;;;;;;
        Em Neu  2 H CD2;;;;9.78319E+12;;;Нет;Нет;40.00 грн;шт
        Em Neu  3 A CD 2;;;;0;;;Нет;Нет;40.00 грн;шт
        Tangram Aktuell 2 CD2;;;;0;;;Нет;Нет;40.00 грн;шт
        Tangram Aktuell 3 Lek 1-4 CD1;;;;0;;;Нет;Нет;20.00 грн;шт
        Tangram Aktuell 3 Lek 5-8 CD1;;;;0;;;Нет;Нет;20.00 грн;шт
        Tangram Aktuell Z CD2;;;;0;;;Нет;Нет;40.00 грн;шт
        TestDaF CD1;;;;2.00005E+12;;;Нет;Нет;20.00 грн;шт
    Audio Longman;;;;;;;;;;
        Cutting Edge  New Inter Class CD (3);;;;2.00006E+12;;;Нет;Нет;113.00 грн;шт
        Cutting Edge  New Inter Student's CD (2);;;;2.00006E+12;;;Нет;Нет;75.00 грн;шт
        Cutting Edge  New Pre Class CD (3);;;;2.00006E+12;;;Нет;Нет;113.00 грн;шт
        Cutting Edge  New Pre Student's CD (2);;;;2.00006E+12;;;Нет;Нет;75.00 грн;шт
        Cutting Edge  New Upper Class CD (3);;;;2E+12;;;Нет;Нет;113.00 грн;шт
        Cutting Edge  New Upper Student's CD (2);;;;2E+12;;;Нет;Нет;75.00 грн;шт
        Cutting Edge Adv Class CD (2);;;;2.00006E+12;;;Нет;Нет;75.00 грн;шт
        Cutting Edge Adv Student CD (1);;;;2.00006E+12;;;Нет;Нет;38.00 грн;шт
        Cutting Edge Starter Class CD (2);;;;9.78058E+12;;;Нет;Нет;186.00 грн;шт
        Cutting Edge Starter Student's CD (2);;;;0;;;Нет;Нет;75.00 грн;шт
        Excellent 2 CD (2);;;;2.00006E+12;;;Нет;Нет;75.00 грн;шт
        Excellent 3 CD (2);;;;2.00006E+12;;;Нет;Нет;75.00 грн;шт
        Excellent Starter CD (2);;;;2.00006E+12;;;Нет;Нет;75.00 грн;шт
        Friends 1 CD (3);;;;2.00006E+12;;;Нет;Нет;113.00 грн;шт
        Friends 2 CD (4);;;;2.00006E+12;;;Нет;Нет;149.00 грн;шт
        Friends 3 CD (4);;;;2.00006E+12;;;Нет;Нет;149.00 грн;шт
        Friends start CD (3);;;;2.00006E+12;;;Нет;Нет;113.00 грн;шт
